evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31
1 -453.2372591571 -0.250920 0.901429 0.463988 0.197317 -0.687963 -0.688011 -0.883833 0.732352 0.202230 0.416145 -0.958831 0.939820 0.664885 -0.575322 -0.636350 -0.633191 -0.391516 0.049513 -0.136110 -0.417542 0.223706 -0.721012 -0.415711 -0.267276 -0.087860 0.570352 -0.600652 0.028469 0.184829 -0.907099 0.215090 -0.658952
6 -356.1455351550 -0.264434 0.264612 0.267059 0.071549 -0.819420 0.670605 -0.358440 -0.626963 -0.918450 0.181786 0.355129 -0.966824 0.024186 -0.547008 0.290346 -0.651267 0.381875 -0.226529 0.873460 -0.724958 -0.317867 -0.773053 0.849387 0.754679 -0.484117 0.319968 0.634444 0.110402 0.059301 -0.516295 -0.813794 0.794432
7 -313.9315122366 0.800836 0.266203 -0.321940 -0.301581 0.451911 0.794221 0.774173 0.559751 0.284063 -0.831720 -0.676743 0.797108 0.212858 -0.981606 -0.797057 0.327004 -0.989877 -0.678384 0.097468 0.383790 0.303923 -0.551461 0.424358 -0.525502 -0.349201 0.492983 0.299266 0.698447 0.315226 0.136617 -0.812650 -0.264568
8 -247.3643969976 -0.469595 -0.512021 0.946021 -0.213805 0.784093 0.262277 0.589623 0.005274 0.153808 -0.014965 -0.609514 0.444904 -0.438455 -0.951368 0.290945 -0.645779 0.880917 0.907857 0.829729 -0.259683 -0.969087 0.856637 -0.143632 0.933310 0.927240 0.706019 -0.411102 -0.229805 0.702273 -0.366156 -0.661015 0.113603
10 -163.4526088814 -0.426917 0.181667 -0.939000 -0.925304 0.645201 -0.279619 -0.745879 0.044487 0.539987 -0.568358 0.245781 -0.829305 -0.896637 0.062709 0.081270 0.274860 0.452183 0.951704 0.032601 -0.354087 0.590372 -0.458335 -0.122057 -0.843087 -0.949299 0.925297 0.671960 0.391948 -0.182094 -0.653411 -0.687126 -0.499514
11 -112.1889448658 0.098453 0.429192 0.320395 -0.440132 0.909731 0.475794 0.108708 0.223441 -0.160800 -0.504538 -0.288055 0.515692 -0.971213 -0.767855 -0.907995 -0.918542 0.710921 0.407316 -0.051652 -0.804332 -0.016768 -0.053056 -0.653596 -0.132297 -0.202991 0.231700 0.270187 -0.909392 -0.250775 0.251720 0.006273 0.712980
27 -51.2143221365 -0.718286 -0.647226 -0.003264 -0.162149 0.829692 -0.275212 0.161177 0.264529 -0.973811 0.327075 -0.643928 0.922141 -0.702675 -0.170752 -0.829301 0.993749 0.004390 0.190770 -0.865847 0.499921 -0.580189 0.796109 -0.589721 -0.618625 -0.926901 -0.055866 0.129682 -0.868583 0.551055 -0.093422 0.048781 -0.118475
51 -44.7685920556 -0.616265 -0.353257 -0.546687 -0.290007 -0.861152 0.038120 -0.864775 0.600713 -0.532576 0.080024 0.760158 0.301755 0.065916 -0.351332 -0.333996 0.338974 0.988279 0.323678 0.115567 0.461301 -0.069589 -0.879715 0.124594 0.915251 -0.649394 0.380010 -0.598133 0.071655 -0.806647 -0.099258 0.512327 -0.304857
69 24.1034395294 -0.441448 0.285764 0.388301 0.025310 -0.389379 -0.574711 -0.933621 -0.392107 0.306326 0.876610 0.742409 0.532130 0.576895 0.329970 -0.479426 0.814390 0.341465 0.120881 -0.778021 -0.105889 -0.079283 0.729127 0.093296 -0.239199 0.953601 -0.778559 -0.154903 -0.915951 0.479808 0.836153 -0.439925 0.716683
200 -387.6107690926 0.007439 0.660406 0.328024 -0.323264 0.871046 0.824415 -0.581303 -0.921165 0.482617 0.655221 0.935729 0.779673 0.201070 0.060105 -0.944318 -0.506687 -0.080770 0.257008 0.114504 0.485272 -0.440466 0.129905 -0.823716 -0.172669 0.500322 0.386802 0.981285 -0.444218 -0.003621 -0.340939 -0.118794 0.713900
