evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31
1 -692.5828558709 0.318429 -0.858397 -0.059042 0.685970 -0.649837 -0.575506 -0.564232 -0.922183 0.440614 -0.111226 -0.319004 0.744745 0.189863 -0.126804 0.616934 -0.196828 -0.463643 -0.286640 0.297658 0.692912 -0.648859 -0.305725 0.358888 0.494721 -0.949408 0.686943 0.186782 0.274151 -0.814280 0.475143 0.172363 0.474509
2 -475.4695493762 0.169688 -0.181608 -0.280812 -0.756105 -0.715837 -0.666569 -0.813171 0.706929 0.651385 0.462418 -0.124894 0.842424 0.144887 -0.127564 -0.425119 0.479301 -0.136498 0.717532 0.774194 -0.922236 0.811165 -0.118287 -0.850532 0.393996 -0.901293 0.700216 -0.545170 -0.892511 -0.756845 0.534143 -0.276233 0.357844
3 -327.9882128182 0.016500 -0.297826 -0.687390 -0.786413 -0.770103 -0.525359 0.576525 0.743913 0.070168 0.465127 -0.305365 0.038138 0.949944 -0.256667 -0.745166 -0.435270 -0.191414 -0.640097 -0.381157 -0.373038 0.083760 -0.318460 0.255438 0.306990 0.378141 0.152443 -0.232152 -0.432220 0.959384 0.970512 -0.209297 0.963941
4 -117.5749112538 -0.289674 0.849551 -0.135004 0.621719 0.857205 -0.757470 0.993436 -0.509751 0.519766 -0.687053 -0.250223 -0.105581 -0.447451 0.434267 -0.312283 -0.526904 0.947790 -0.335303 -0.940595 -0.021191 0.996289 0.453149 -0.055831 0.139870 0.707184 -0.619470 0.244979 -0.933309 0.474678 0.285113 -0.248854 -0.966705
16 -113.2667794342 0.348563 -0.769915 0.724158 -0.297535 0.323741 -0.772901 0.351312 -0.285225 0.627239 0.131811 -0.042891 0.030847 -0.081228 0.895981 0.140157 0.215284 0.563097 0.685815 -0.776093 0.441761 -0.928705 0.490357 0.333602 0.738932 -0.610272 -0.552796 0.400188 0.826394 -0.204222 -0.274217 -0.082986 0.014296
18 -37.4494765069 -0.881929 -0.529619 0.879528 -0.911011 0.799811 -0.817403 -0.677009 -0.450305 0.140799 0.594465 -0.630085 -0.918374 0.535771 -0.619662 -0.214716 -0.573957 0.234590 -0.494341 -0.584417 0.859411 -0.319921 0.866881 0.420528 -0.843112 -0.964260 -0.473701 -0.663901 -0.914849 0.412484 -0.275453 -0.905701 0.863670
34 -6.4188001362 0.458958 0.849551 -0.135004 -1.000000 0.857205 0.357648 -0.741591 -0.177012 0.121524 -0.687053 -1.000000 -0.631611 0.344934 1.000000 -1.000000 0.463694 0.388263 -0.234419 0.440839 0.280175 0.996289 0.134887 1.000000 -1.000000 -1.000000 -1.000000 0.372042 -1.000000 -0.825982 -0.293277 0.165304 -0.966705
127 2.1204696192 -0.474823 -0.162236 0.004616 -0.193744 0.881314 -0.499815 -0.072451 -0.814226 -0.919951 -0.276913 0.147252 -0.706909 -0.373351 -0.201696 -0.982842 0.231449 -0.637961 0.354296 -1.000000 1.000000 -0.768157 -0.075229 1.000000 0.607251 0.337200 -0.447102 0.008615 0.442373 -0.490980 0.641510 -0.291700 0.828207
216 36.6797107649 -1.000000 -1.000000 0.571467 -0.433949 0.799811 -1.000000 -1.000000 -0.888112 0.140799 -0.685535 1.000000 -1.000000 0.277985 -0.599374 1.000000 -1.000000 0.027916 -0.534488 -1.000000 1.000000 -0.064647 -1.000000 1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -0.137195 0.125248 -1.000000 1.000000
277 46.4371005525 -0.474823 -0.162236 0.004616 -0.193744 0.881314 -0.499815 -0.072451 -0.814226 -0.919951 -0.276913 0.147252 -0.706909 -0.373351 -0.201696 -0.982842 0.231449 -0.637961 -1.000000 -1.000000 1.000000 -0.768157 -0.075229 1.000000 0.607251 0.337200 1.000000 0.008615 0.442373 -0.490980 0.641510 -0.291700 -1.000000
318 218.3810561151 0.785179 -0.173506 -0.090918 0.430952 0.711798 0.191515 0.358964 -0.086942 0.063468 0.142133 0.276860 0.100846 -0.464396 -0.027904 -1.000000 1.000000 -0.801754 -0.494341 -0.128336 0.279333 0.467439 0.266367 0.684114 -0.712165 -0.075234 -0.473701 0.431705 0.528943 -1.000000 -0.012278 -0.751716 -0.497111
450 258.4745933030 -1.000000 0.504205 0.806602 -1.000000 1.000000 0.483507 -1.000000 0.409448 -1.000000 1.000000 1.000000 -0.106578 0.807982 1.000000 -1.000000 0.707052 -1.000000 -1.000000 -1.000000 -0.713655 0.025207 0.062036 -0.482829 0.837742 1.000000 1.000000 -0.366254 1.000000 0.372474 -0.090965 0.880840 -1.000000
1012 279.9113900544 -0.995595 0.343480 -0.242854 -1.000000 0.601042 0.954052 -1.000000 0.744061 -1.000000 0.722549 1.000000 -0.032733 0.895838 1.000000 -1.000000 0.748390 0.285684 -1.000000 -0.661968 1.000000 0.365051 -1.000000 -1.000000 0.475210 0.703079 1.000000 -0.725867 -0.468920 1.000000 -0.740658 0.530278 -1.000000
2112 280.6918003178 -1.000000 -1.000000 -0.157222 0.277120 -0.200793 1.000000 -1.000000 0.801804 0.634472 -0.258254 -0.606947 -0.676641 1.000000 0.864915 -1.000000 0.939843 0.696748 -1.000000 -0.567529 0.862095 0.080834 -0.879694 -1.000000 0.527367 0.648174 1.000000 -1.000000 -0.346999 1.000000 0.266382 0.558623 -0.949503
2307 299.9122057214 -0.998414 -0.110628 -0.739293 -1.000000 0.386203 1.000000 -1.000000 0.985580 -1.000000 1.000000 1.000000 -0.071663 1.000000 1.000000 -1.000000 1.000000 0.775607 -0.991555 -1.000000 1.000000 1.000000 -0.989992 0.716324 0.458562 0.941586 0.680000 -0.389688 -0.742426 0.943902 0.352570 0.775607 -1.000000
2638 303.4632700804 -1.000000 0.846330 -0.449933 -0.321578 -0.486007 0.976261 -1.000000 0.977031 0.388522 1.000000 0.027111 -1.000000 1.000000 0.848642 -1.000000 0.923179 1.000000 -1.000000 -0.786380 1.000000 -0.236696 -1.000000 -1.000000 1.000000 1.000000 1.000000 -0.089527 -0.701069 0.931273 -1.000000 0.280440 -0.951513
3246 311.8208053974 -0.542273 -0.588125 -0.566484 -1.000000 -0.728124 1.000000 -1.000000 1.000000 -0.182683 1.000000 1.000000 0.167913 1.000000 0.898957 -1.000000 1.000000 0.569947 -0.961462 0.426947 1.000000 0.700015 -1.000000 0.223774 1.000000 1.000000 0.680000 -0.040155 -1.000000 0.801558 0.467229 1.000000 -0.972253
4137 321.6377110097 -1.000000 -0.110628 0.889214 -1.000000 0.521603 0.996671 -1.000000 1.000000 -1.000000 0.595550 0.863557 -0.328109 1.000000 0.993062 -1.000000 1.000000 0.894082 -1.000000 -1.000000 1.000000 -0.815560 -1.000000 -0.775607 0.387600 0.689160 1.000000 -0.389688 -0.945623 0.943902 -1.000000 0.775607 -0.993978
5799 325.6594654261 -0.845014 0.185363 0.489266 -1.000000 -0.659325 1.000000 -1.000000 1.000000 0.778515 1.000000 1.000000 0.050417 0.962817 0.831260 -1.000000 0.763901 0.632059 -0.979298 -0.741646 0.749241 0.525524 -0.928072 0.977214 1.000000 0.934318 1.000000 -1.000000 -1.000000 1.000000 -0.435330 1.000000 -0.660029
10000 -497.6307186850 -0.921509 0.687067 0.898865 -0.229679 -1.000000 0.443531 -1.000000 1.000000 -0.480648 0.948230 1.000000 -1.000000 0.909684 0.768493 -1.000000 0.894003 0.885538 -0.966577 -0.742807 0.834391 0.190245 -1.000000 1.000000 0.434148 1.000000 -0.044424 0.422012 -1.000000 1.000000 -0.487585 0.582667 -0.993555
