evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31
1 -760.8100666046 -0.742023 -0.077688 -0.167692 0.205448 -0.633864 -0.164175 -0.731823 0.313236 0.613465 -0.723716 -0.299231 0.229032 0.102561 0.384949 -0.909480 -0.294898 -0.916217 -0.699031 -0.323329 -0.673445 0.521949 -0.306796 -0.476018 -0.628623 0.808028 -0.585043 -0.307429 -0.234868 -0.897584 0.741743 0.320785 0.709132
2 -406.2079019282 -0.742023 -0.077688 -0.167692 0.205448 -0.633864 -0.164175 -0.731823 0.313236 0.613465 -0.723716 -0.299231 0.229032 0.102561 0.384949 -0.909480 -0.294898 -0.916217 -0.699031 -0.323329 -0.673445 0.521949 -0.306796 -0.476018 -0.628623 0.808028 -0.585043 -0.307429 -0.234868 -0.897584 0.741743 0.320785 0.709132
9 -390.0668214683 -0.539635 -0.008074 -0.076744 0.197198 -0.587069 -0.233169 -0.714065 0.355735 0.705009 -0.679261 -0.369078 0.310826 -0.092866 0.508768 -0.888337 -0.314116 -0.885057 -0.706624 -0.332760 -0.656022 0.402844 -0.337319 -0.525328 -0.575984 0.743226 -0.702761 -0.242875 -0.191914 -0.992812 0.971242 0.306024 0.617260
26 -351.5725720962 -0.707490 -0.091080 -0.117015 0.123414 -0.791403 -0.165045 -0.696133 0.374841 0.895906 -0.588100 -0.417566 0.101413 -0.046545 0.476224 -0.926788 -0.274101 -0.981751 -0.599764 -0.383332 -0.758643 0.466154 -0.494912 -0.463938 -0.667321 0.719912 -0.741406 -0.325045 -0.295740 -0.985337 0.987280 0.434565 0.580125
36 -336.7658117551 -0.689202 -0.010368 0.030018 0.140951 -0.709486 -0.435853 -0.742991 0.511407 0.907052 -0.660848 -0.428111 0.330402 -0.061951 0.385642 -0.908393 -0.327167 -0.951491 -0.667928 -0.173724 -0.660698 0.381435 -0.419521 -0.415250 -0.657776 0.686230 -0.774950 -0.259680 -0.142349 -0.921403 0.971574 0.511894 0.700950
58 -333.4906978620 -0.794545 0.042751 -0.132267 0.082373 -0.942494 -0.364729 -0.637136 0.366921 0.774061 -0.630738 -0.270725 0.127018 0.046921 0.375522 -0.933602 -0.046225 -1.000000 -0.713851 -0.173489 -0.789718 0.522231 -0.512675 -0.449251 -0.671081 0.552808 -0.740268 -0.242450 -0.200385 -0.864210 1.000000 0.600055 0.839393
108 -326.3444200087 -0.768837 -0.054978 -0.398637 0.269531 -0.931280 -0.362157 -0.527170 0.252810 0.890350 -0.550737 -0.443036 0.186293 0.202352 0.341293 -0.809802 -0.092506 -0.930009 -0.767945 -0.315645 -0.877682 0.532293 -0.624678 -0.468233 -0.663460 0.477820 -0.817385 -0.156944 -0.361138 -0.843431 1.000000 0.382758 1.000000
177 -282.3658215455 -0.444644 0.136718 -0.221493 0.272203 -0.889077 -0.352097 -0.534397 0.444863 0.870932 -0.496021 -0.363347 -0.036745 -0.354536 0.084745 -0.728094 0.068462 -0.608664 -0.752971 -0.144998 -0.586290 0.660946 -0.588879 -0.418004 -0.508322 0.578953 -0.718613 -0.018755 -0.115031 -0.782089 0.959409 0.713818 0.797099
211 -272.6766852118 -0.750676 -0.084003 -0.275709 0.307315 -0.906431 -0.406530 -0.721142 0.324080 0.886693 -0.636672 -0.387087 -0.064900 -0.145228 0.058736 -0.856647 0.219931 -0.791743 -0.725221 -0.239948 -0.792600 0.570928 -0.694350 -0.555553 -0.676076 0.528519 -0.611776 -0.152373 -0.298242 -0.807490 0.845374 0.564716 0.654194
288 -240.7799873669 -0.734394 -0.196134 -0.261637 0.137598 -0.703518 -0.212195 -0.720065 0.306645 0.776580 -0.468097 -0.163149 -0.045982 -0.105571 0.247321 -0.819446 -0.015793 -0.547475 -0.759821 -0.368915 -0.856170 0.449446 -0.723900 -0.695647 -0.723791 0.890305 -0.715985 0.028623 -0.253708 -0.878591 1.000000 0.511390 0.938160
1513 -103.3509032792 -0.395992 -0.194794 -0.364620 0.526206 -0.664567 -0.075337 -1.000000 0.001255 0.731710 -0.392760 -0.477530 -0.049928 0.170234 0.213107 -0.498380 0.227203 -0.781235 -0.850940 -0.140564 -0.728914 0.563166 -0.741104 -0.942748 -0.105461 0.749921 -0.289293 0.080725 -0.367896 -0.578602 1.000000 0.719795 0.733379
1538 -70.4026209633 0.187325 -0.527165 -0.235687 0.257370 -0.887012 -0.406731 -0.722352 0.086805 0.729545 -0.238168 -0.437793 -0.231888 0.133808 -0.027568 -0.382743 0.500639 -0.856790 -1.000000 -0.170839 -0.205357 0.396589 -0.924997 -0.792918 0.099353 0.839427 0.149838 0.057827 0.065619 -0.658980 0.684558 1.000000 1.000000
1543 21.8471761804 -0.500213 0.013376 -0.223785 0.306393 -0.807562 -0.326012 -0.632561 -0.105402 0.587110 -0.206300 -0.714757 -0.496764 -0.134660 0.017947 -0.307424 0.160677 -0.880336 -1.000000 0.125987 -0.400079 0.576247 -0.971193 -0.786009 -0.046884 1.000000 -0.152596 0.156121 -0.510584 -0.705677 0.751775 0.875973 0.841657
1549 34.8545286625 -0.500213 0.013376 -0.223785 0.306393 -0.807562 -0.326012 -0.632561 -0.105402 0.587110 -0.206300 -0.714757 -0.496764 -0.134660 0.017947 -0.307424 0.160677 -0.880336 -1.000000 0.125987 -0.400079 0.576247 -0.971193 -0.786009 -0.046884 1.000000 -0.152596 0.156121 -0.510584 -0.705677 0.751775 0.875973 0.841657
1567 243.1509798932 -0.480198 -0.087223 -0.218977 0.244774 -0.930729 -0.313204 -0.901692 -0.233976 0.663805 -0.275430 -0.677866 -0.491506 0.018920 0.230477 -0.255358 0.280456 -0.965295 -0.834117 0.104433 -0.348469 0.725063 -0.889000 -0.680812 -0.151047 1.000000 -0.298087 0.182210 -0.461918 -0.663918 0.831757 0.857257 0.918693
1932 258.2612689793 -0.361604 -0.259300 -0.249446 0.342179 -1.000000 -0.411770 -1.000000 -0.175831 0.695616 -0.342693 -0.695971 -0.589564 -0.019216 0.193515 -0.316300 0.313733 -0.913149 -1.000000 -0.092983 -0.318546 0.669075 -1.000000 -0.905064 -0.180771 0.950461 -0.178310 0.251036 -0.391329 -0.664455 0.923594 0.877410 1.000000
