evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31
1 -260.7939776657 0.307179 -0.769986 0.900566 -0.035617 0.744949 -0.575335 -0.918581 -0.205611 -0.533736 0.683481 -0.585835 0.484939 -0.215692 -0.635487 0.487079 -0.860836 0.770674 0.905289 0.862287 -0.169138 -0.942037 0.964055 -0.320725 0.413374 -0.276246 -0.929788 0.710117 0.314507 0.531366 0.108174 0.770186 0.808395
4 -245.2775435485 0.307179 -0.769986 0.900566 -0.035617 0.744949 -0.575335 -0.918581 -0.205611 -0.533736 0.683481 -0.585835 0.484939 -0.215692 -0.635487 0.487079 -0.860836 0.770674 0.905289 0.862287 -0.169138 -0.942037 0.964055 -0.320725 0.413374 -0.276246 -0.929788 0.710117 0.314507 0.531366 0.108174 0.770186 0.808395
7 -178.8698953443 0.272415 -0.844653 1.000000 -0.041903 0.752499 -0.604997 -0.922736 -0.233235 -0.359257 0.676345 -0.638647 0.338136 -0.137003 -0.729888 0.546093 -0.615891 0.843444 0.805763 0.846132 -0.207506 -0.972015 0.863237 -0.388048 0.646988 -0.178871 -1.000000 0.651397 0.412701 0.547396 0.032383 0.616395 0.911233
9 -121.3887735724 0.341943 -0.695319 0.755387 -0.029331 0.737399 -0.545672 -0.914425 -0.177987 -0.708215 0.690618 -0.533023 0.631742 -0.294380 -0.541086 0.428065 -1.000000 0.697905 1.000000 0.878442 -0.130770 -0.912059 1.000000 -0.253401 0.179761 -0.373621 -0.760470 0.768836 0.216313 0.515336 0.183966 0.923977 0.705558
11 -110.5959444908 0.341943 -0.695319 0.755387 -0.029331 0.737399 -0.545672 -0.914425 -0.177987 -0.708215 0.690618 -0.533023 0.631742 -0.294380 -0.541086 0.428065 -1.000000 0.697905 1.000000 0.878442 -0.130770 -0.912059 1.000000 -0.253401 0.179761 -0.373621 -0.760470 0.768836 0.216313 0.515336 0.183966 0.923977 0.705558
13 -98.0697903354 0.109510 -0.852268 0.774819 0.122953 0.769214 -0.554628 -0.844068 -0.142157 -0.614575 0.588292 -0.513357 0.476297 -0.334543 -0.707443 0.358742 -0.892166 0.586946 1.000000 0.905744 -0.059657 -1.000000 1.000000 -0.320008 0.183120 -0.284107 -0.601645 0.705093 0.261673 0.588182 0.278923 0.792630 1.000000
22 -85.6585298315 0.188966 -0.812556 0.719194 0.014834 0.786773 -0.585017 -0.975843 -0.115623 -0.575099 0.455799 -0.386740 0.514934 -0.401111 -0.768311 0.374803 -0.922152 0.654411 0.979911 0.902878 -0.111468 -1.000000 0.992718 -0.214280 0.380662 -0.335484 -0.513300 0.763898 0.342434 0.654722 0.412369 0.825161 0.926429
52 -71.7868282411 0.086143 -1.000000 0.754562 0.129515 0.981204 -0.476461 -0.905226 -0.114568 -0.660588 0.546430 -0.390868 0.406808 -0.321634 -0.555447 0.474470 -0.868275 0.734523 0.826867 1.000000 0.166936 -1.000000 1.000000 -0.452315 0.131436 -0.272472 -0.543069 0.701488 0.172188 0.489961 0.260370 0.833339 1.000000
110 -5.8569796828 0.173716 -0.660064 0.900278 0.283035 0.505363 -0.679040 -0.762286 -0.102308 -0.499966 0.665695 -0.575135 0.530534 -0.230046 -0.889819 0.145915 -0.961091 0.546424 1.000000 0.830684 -0.268051 -0.782245 0.776565 -0.228133 0.453906 -0.408780 -0.578073 0.759772 0.331330 0.462433 0.408547 0.734211 0.976591
144 1.8603849791 0.117484 -0.708780 0.686197 -0.174071 0.647372 -0.480270 -0.677561 -0.224033 -0.583249 0.508766 -0.812803 0.557722 -0.436695 -0.673118 0.458786 -0.817033 0.249049 0.823089 0.695818 -0.272739 -0.887003 0.894109 -0.128917 -0.072513 -0.213555 -0.520953 0.516979 0.303071 1.000000 0.421279 0.810850 0.891142
171 29.3638777796 0.259430 -0.836375 0.559219 0.044990 0.494926 -0.570395 -0.746611 -0.232712 -0.719625 0.450825 -0.878422 0.536279 -0.624695 -0.877755 0.391611 -0.674649 0.426649 1.000000 0.722971 -0.200847 -0.987450 0.798377 -0.142917 0.096338 -0.095796 -0.675567 0.630909 0.404263 1.000000 0.143939 0.826637 0.831416
215 32.7421656298 0.296744 -0.937778 0.599824 -0.017240 0.552127 -0.590522 -0.700846 -0.151055 -0.697998 0.476996 -0.987005 0.686087 -0.647770 -0.960136 0.366589 -0.776940 0.479273 1.000000 0.799711 -0.027753 -0.981499 0.814035 -0.100747 0.033904 -0.039549 -0.733767 0.738507 0.229140 0.988566 0.194781 0.809710 0.703524
325 53.9004756911 0.405977 -1.000000 0.639381 0.031307 0.668661 -0.292446 -0.755204 -0.122469 -0.921063 0.242237 -0.936796 0.180888 -0.833447 -1.000000 0.366421 -0.558601 0.287469 1.000000 0.988395 -0.289802 -1.000000 0.865629 -0.270716 -0.048062 0.083724 -0.743080 0.514196 0.171893 1.000000 0.172891 0.963623 0.835352
527 63.4007338705 0.109578 -1.000000 0.943661 0.015918 1.000000 -0.541780 -0.701072 0.064128 -1.000000 0.462249 -0.475196 -0.439291 -1.000000 -0.584504 0.109764 -0.939250 0.016408 0.928183 1.000000 -0.274920 -0.796894 0.743546 -0.677476 -0.014319 -0.228077 -0.772677 0.392592 -0.116255 0.798853 0.735034 0.974469 0.661030
6007 -782.2634998961 1.000000 -1.000000 -1.000000 -1.000000 -1.000000 1.000000 -1.000000 1.000000 1.000000 1.000000 -1.000000 -1.000000 1.000000 -1.000000 -1.000000 -1.000000 1.000000 1.000000 -1.000000 -1.000000 -1.000000 -1.000000 1.000000 -1.000000 1.000000 -1.000000 -1.000000 -1.000000 1.000000 -1.000000 -1.000000 -1.000000
