evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31
1 -373.2238105242 -0.660218 -0.755516 -0.137843 -0.766070 -0.688261 0.090682 -0.684148 -0.359578 -0.966966 0.567557 0.395031 -0.053551 -0.725283 0.314534 0.351025 0.621999 0.283913 0.386622 -0.794815 -0.148480 -0.954310 0.881863 -0.821619 -0.098575 -0.351288 0.264811 -0.163310 -0.259385 -0.145288 0.941156 0.682853 0.698053
12 -370.6262758596 -0.634265 -0.785584 -0.266418 -0.657703 -0.617210 0.225123 -0.699432 -0.267685 -0.944300 0.803901 0.609540 -0.107546 -0.677977 0.269240 0.367350 0.570966 0.266093 0.389502 -0.831779 -0.047033 -0.960186 0.831853 -1.000000 -0.141592 -0.254115 0.443872 -0.044099 -0.310963 -0.095877 1.000000 0.690030 0.607114
39 -357.9679104319 -0.640192 -0.825987 -0.370119 -0.536262 -0.627416 0.185005 -0.792571 -0.242862 -0.914824 0.806176 0.510170 -0.164401 -0.808689 0.249899 0.382933 0.469686 0.213795 0.306361 -0.812384 0.018606 -1.000000 0.969377 -0.942240 -0.276283 -0.255438 0.362743 -0.111986 -0.327462 -0.179603 1.000000 0.729724 0.739500
40 -215.3522660328 -0.635701 -0.836161 -0.400415 -0.534536 -0.797012 0.064886 -0.834418 -0.246263 -1.000000 0.985979 0.565694 -0.117105 -0.857322 0.326747 0.448935 0.336846 0.112908 0.316536 -0.812007 -0.020236 -0.983363 0.913735 -0.888406 -0.371002 -0.326056 0.484897 -0.172017 -0.417832 -0.033135 1.000000 0.715586 0.591235
52 -124.6153763942 -0.682031 -0.629325 -0.421613 -0.475101 -0.741136 0.086716 -0.818595 -0.212768 -0.942911 0.979207 0.634393 -0.280655 -0.805411 0.301073 0.514633 0.431153 0.088494 0.382501 -0.781826 -0.040704 -0.832194 0.965780 -0.877375 -0.443255 -0.405174 0.434753 -0.058006 -0.423074 0.051587 0.988360 0.652612 0.482720
54 -117.8142725801 -0.617284 -0.632059 -0.506370 -0.435809 -0.816793 0.060948 -0.857863 -0.143761 -0.938769 0.998720 0.657788 -0.199824 -0.768849 0.365238 0.582595 0.376928 0.108152 0.398088 -0.913895 -0.158020 -0.864845 0.895685 -0.890065 -0.354203 -0.523856 0.514959 -0.093209 -0.493908 0.050237 1.000000 0.696772 0.453136
70 -112.4624825170 -0.659028 -0.658876 -0.523201 -0.543613 -0.786308 0.075284 -0.841002 -0.116139 -0.975198 1.000000 0.630745 -0.266686 -0.799898 0.418122 0.553246 0.367432 0.128955 0.401540 -0.933778 -0.158341 -0.903240 0.827392 -0.869248 -0.380018 -0.339700 0.481543 -0.094127 -0.583217 0.180810 0.947544 0.783721 0.473487
73 -91.8079526496 -0.510759 -0.647239 -0.512451 -0.482124 -0.849785 0.125109 -0.911741 -0.162138 -0.972666 1.000000 0.722808 -0.233384 -0.750347 0.401847 0.683352 0.344993 0.218521 0.471018 -0.900262 -0.094411 -0.900485 0.769697 -0.862160 -0.390020 -0.223973 0.494103 -0.082706 -0.609310 0.116502 0.954833 0.832278 0.483505
74 -41.3538308070 -0.484182 -0.604788 -0.458423 -0.475796 -0.951163 0.031429 -0.911864 -0.179206 -0.928089 0.862199 0.756689 -0.144997 -0.864705 0.368031 0.673818 0.230933 0.256206 0.401902 -0.880236 -0.115524 -0.851571 0.803898 -0.800154 -0.380287 -0.234744 0.418641 -0.088904 -0.589481 0.258110 0.892406 0.910722 0.635004
134 11.3004052327 -0.438688 -0.587588 -0.436866 -0.501841 -0.961367 0.015100 -0.950257 -0.166413 -0.941594 0.861861 0.754295 -0.194273 -0.900111 0.405785 0.729639 0.226567 0.324104 0.407125 -0.804195 -0.083285 -0.838291 0.759615 -0.865305 -0.378735 -0.284720 0.404750 -0.062914 -0.630800 0.283502 0.847666 0.897446 0.658383
726 14.6251776474 -0.438815 -0.587609 -0.436221 -0.501566 -0.961347 0.015004 -0.950813 -0.166114 -0.941423 0.861778 0.754760 -0.194378 -0.900207 0.405896 0.729174 0.226499 0.323784 0.406753 -0.804219 -0.083195 -0.838427 0.759510 -0.865343 -0.378740 -0.285086 0.404548 -0.062923 -0.631019 0.282955 0.847649 0.897659 0.658450
1000 -611.6268569619 -0.438813 -0.587608 -0.436225 -0.501617 -0.961400 0.015063 -0.950795 -0.166140 -0.941428 0.861782 0.754746 -0.194364 -0.900225 0.405877 0.729245 0.226440 0.323801 0.406773 -0.804267 -0.083216 -0.838391 0.759546 -0.865321 -0.378741 -0.285149 0.404626 -0.062903 -0.631090 0.282926 0.847626 0.897682 0.658472
