evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31
1 -623.6473130117 -0.211487 -0.648815 -0.854588 -0.616238 -0.200391 -0.163753 0.525164 0.042820 -0.178234 0.074889 -0.458875 -0.133347 0.654533 -0.456294 0.454776 -0.799519 -0.004428 0.160632 0.153349 -0.585922 -0.407693 0.794725 -0.535387 0.408942 -0.182012 0.741361 0.045939 -0.156736 -0.156846 -0.357358 0.539258 0.948017
3 -493.4025149028 -0.992102 0.872025 -0.453677 -0.696693 -0.847087 0.968047 0.350708 0.123802 -0.658602 -0.017016 0.567433 0.696920 -0.125943 -0.937190 -0.331865 -0.819113 -0.307996 0.125480 0.781431 -0.837784 0.606706 0.184851 0.896077 -0.706952 -0.444589 0.806915 0.575949 -0.599633 0.588646 0.162818 -0.951798 0.227047
4 -388.5649571629 0.153506 -0.817576 -0.671000 -0.849184 -0.748259 0.650901 0.286647 -0.577941 -0.254328 -0.412536 -0.566946 -0.983986 -0.293822 -0.807716 0.396576 -0.017533 0.374002 -0.940263 -0.286830 -0.032966 0.704066 -0.668463 -0.867457 0.563842 0.711939 0.366570 0.439858 -0.256388 0.700991 0.353122 0.627541 -0.018557
6 -219.7802934129 0.618448 0.788673 0.239570 0.442463 0.957621 0.464035 -0.073558 -0.943771 0.253811 0.239941 -0.077503 -0.432583 0.741449 -0.030325 0.107173 -0.335553 -0.338802 -0.238757 -0.177719 0.869340 0.299150 0.767597 0.337219 -0.812140 0.322001 -0.066413 0.393974 -0.630747 -0.126817 -0.447364 0.433005 0.630328
9 -161.7183487280 -0.725692 0.173600 0.873457 0.253362 0.042509 -0.217085 0.986334 0.433252 -0.339230 -0.615949 0.301147 -0.785499 -0.559479 -0.532074 0.141371 0.545126 0.034906 -0.335253 -0.453893 0.497492 0.898748 -0.393890 0.838399 -0.236518 0.144143 0.885685 0.325633 0.421394 -0.344087 -0.923068 -0.140820 -0.600177
17 -149.6826274304 -0.307004 0.488096 -0.742153 0.933829 -0.649367 -0.961120 -0.609903 -0.942094 0.700194 -0.120584 -0.806965 -0.687978 0.272710 0.096444 0.233286 -0.428687 -0.740385 -0.719975 -0.872181 0.566417 -0.654516 -0.643392 -0.216667 -0.151509 -0.723338 0.145573 0.445633 0.068020 0.236349 0.995729 0.844226 0.130481
20 -148.7116617871 -0.955522 -0.238255 -0.989083 -0.932594 -0.927659 0.284148 -0.644712 0.523025 -0.181609 -0.390084 0.337744 -0.069207 -0.330216 0.165280 0.450313 0.209265 0.294635 -0.676182 0.347176 0.696570 0.113864 0.089357 -0.054454 -0.185640 -0.393973 0.328501 -0.970180 0.141014 -0.378661 0.743955 -0.759748 0.900098
24 -125.6147698342 -0.682715 0.485317 0.842274 0.678841 0.806453 -0.361260 -0.490016 0.127711 -0.793232 0.151169 0.733939 -0.707677 0.636842 0.892719 0.275720 0.196575 -0.132092 -0.984314 0.225733 -0.137189 -0.001739 0.120528 -0.528929 0.073165 -0.201300 -0.359488 -0.428151 -0.145162 -0.885605 -0.651010 -0.891164 0.576165
36 -124.4789735289 -0.616997 -1.000000 -0.151749 -0.348177 -1.000000 0.099299 -1.000000 -1.000000 -1.000000 -0.678047 0.303899 -1.000000 0.741449 -0.406865 1.000000 -0.806319 -0.893078 -0.238757 -0.490068 0.467871 0.299150 -1.000000 -0.248910 0.908513 0.026170 -0.066413 1.000000 0.200129 -1.000000 0.279897 1.000000 0.271554
56 -118.0706328935 -0.465667 0.127819 0.276894 0.756257 0.634235 -0.175499 -1.000000 0.474835 -1.000000 -0.410321 -0.598098 -1.000000 1.000000 -0.858610 0.506492 -1.000000 -0.166537 -1.000000 -0.313370 1.000000 1.000000 -0.684009 0.291383 -0.120878 -0.757427 -1.000000 0.599710 0.346067 -1.000000 -1.000000 0.394594 -0.320972
63 266.0147659129 -1.000000 -1.000000 -0.132248 0.751561 -0.197522 1.000000 -0.971996 0.663501 0.645473 1.000000 -0.002320 -1.000000 0.172391 1.000000 -0.271995 1.000000 0.808393 -1.000000 -1.000000 0.517657 -0.719012 -1.000000 0.896077 1.000000 -0.361286 -0.629460 -0.133279 -1.000000 1.000000 1.000000 -0.224993 -0.779956
1350 266.0885106511 0.087428 -0.160980 0.497474 -1.000000 0.218436 0.018207 -0.830097 -0.725635 -0.576397 0.969086 1.000000 1.000000 -0.267674 1.000000 -1.000000 0.680433 0.757456 -0.908603 -1.000000 -0.518834 -1.000000 1.000000 1.000000 -0.030391 0.098912 0.131547 -0.540400 -0.307501 1.000000 0.133730 1.000000 0.146514
1724 268.4986129072 -0.245398 0.881410 1.000000 1.000000 0.662551 -1.000000 -1.000000 -1.000000 -0.576397 1.000000 1.000000 1.000000 0.252849 0.539343 -1.000000 1.000000 1.000000 -0.688372 -0.534401 0.044623 0.300227 1.000000 1.000000 0.449177 1.000000 0.983511 0.153057 -1.000000 1.000000 -1.000000 -0.278364 0.148507
1969 272.6237470092 -1.000000 0.145933 1.000000 1.000000 1.000000 -0.600000 -1.000000 0.412767 -0.315240 1.000000 1.000000 1.000000 0.109632 -0.046649 -1.000000 0.978783 1.000000 -1.000000 -1.000000 -1.000000 -0.183466 0.618390 1.000000 0.166128 0.424921 0.436662 -1.000000 -1.000000 1.000000 -1.000000 0.811091 -0.906420
3401 279.9253897511 -1.000000 -1.000000 -1.000000 1.000000 -1.000000 1.000000 -1.000000 1.000000 1.000000 0.871817 -1.000000 -1.000000 0.687388 1.000000 -0.587979 0.978783 1.000000 -0.683355 -0.969025 1.000000 -0.586987 -0.363993 0.112170 1.000000 -0.265214 -1.000000 -1.000000 -1.000000 0.229755 0.192916 -0.788909 -1.000000
4939 284.7698974849 -1.000000 -0.863943 -0.760767 -0.734575 -0.508845 0.557783 -0.085875 1.000000 1.000000 1.000000 -0.331149 -1.000000 0.578166 0.705180 -0.413261 1.000000 0.027608 -1.000000 -1.000000 0.553553 -0.484341 -0.701748 -0.793756 1.000000 0.918550 -0.744544 -1.000000 -1.000000 1.000000 0.859935 1.000000 -1.000000
5706 311.3676127592 0.268999 -1.000000 0.677065 -0.080155 -1.000000 1.000000 -0.841675 -0.157300 0.739981 0.623902 0.198144 -1.000000 1.000000 1.000000 -0.955907 0.536500 0.652679 -0.946717 -1.000000 0.529603 -1.000000 -0.150048 0.916862 0.530717 0.701809 -1.000000 -1.000000 -1.000000 1.000000 -0.093016 0.341801 -0.999419
