evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31
1 -179.7805710448 0.307179 -0.769986 0.900566 -0.035617 0.744949 -0.575335 -0.918581 -0.205611 -0.533736 0.683481 -0.585835 0.484939 -0.215692 -0.635487 0.487079 -0.860836 0.770674 0.905289 0.862287 -0.169138 -0.942037 0.964055 -0.320725 0.413374 -0.276246 -0.929788 0.710117 0.314507 0.531366 0.108174 0.770186 0.808395
20 -143.7363795339 0.614660 -0.120466 0.837070 0.033885 0.683351 0.128157 0.055332 -0.659321 -0.911262 -0.575625 -0.662251 -0.255358 -0.852411 0.565402 -0.211907 0.739181 0.937878 0.959493 0.997303 -0.721353 -0.723148 -0.998612 0.688458 -0.419319 0.194330 -0.438949 -0.809136 -0.826357 -0.170968 0.722257 -0.721103 0.912975
21 -106.9586009354 -0.994119 0.835984 -0.893681 -0.698035 0.349413 0.252313 -0.426469 -0.114246 -0.802626 -0.289984 -0.235658 -0.813627 -0.036504 -0.226242 -0.700701 -0.369828 0.510421 0.397312 0.267833 -0.780555 0.647707 -0.153032 0.714900 0.245318 -0.601153 -0.217355 -0.960624 -0.310001 -0.430989 -0.746501 0.024200 -0.208400
24 -94.1619357587 0.144595 0.076183 -0.205081 0.733849 -0.156066 -0.611908 -0.015211 -0.198946 0.410867 0.344669 -0.013279 0.188052 -0.829322 0.495120 0.404950 -0.543184 -0.031292 -0.215155 -0.567067 -0.883070 0.502086 -0.139839 -0.671465 -0.164728 -0.485333 0.585485 0.590546 -0.980917 0.798712 -0.695109 -0.667401 -0.688805
27 -92.2295829582 -0.335501 0.864212 0.091771 -0.185052 0.852478 -0.219229 -0.983277 -0.743942 -0.321138 0.813638 0.310636 -0.683843 0.562993 0.579315 -0.683417 0.093103 -0.038717 0.031191 0.750629 -0.875761 0.065238 0.556647 -0.150467 0.217449 -0.429700 0.963203 0.781468 -0.319544 -0.122158 -0.283263 0.857096 -0.558472
50 -48.2235510574 1.000000 -0.158082 -0.577931 1.000000 -0.066388 -0.764326 -0.017361 -1.000000 -0.820587 1.000000 -0.391144 -0.226623 1.000000 0.964698 1.000000 -0.137587 -0.627758 -0.997117 -1.000000 -1.000000 1.000000 1.000000 -1.000000 1.000000 0.020012 0.554732 -0.242313 -0.826357 -0.170968 -0.325090 0.066660 1.000000
117 34.0972488917 0.613497 -0.468787 1.000000 0.252037 -0.412505 0.085498 -0.680428 -0.197826 1.000000 1.000000 0.900274 0.362346 0.654528 0.786364 -0.971951 1.000000 -0.583871 -1.000000 -1.000000 0.504828 -1.000000 -1.000000 0.704257 1.000000 1.000000 -0.765168 -0.229592 -0.401106 -1.000000 0.633654 -0.134116 -0.897296
195 183.4937740311 -1.000000 0.957400 1.000000 0.470122 0.956777 -1.000000 -0.401050 -1.000000 1.000000 1.000000 0.516123 -0.092441 1.000000 1.000000 -1.000000 1.000000 -1.000000 0.197516 -1.000000 -1.000000 -1.000000 -1.000000 1.000000 1.000000 1.000000 -0.389660 -0.691703 -1.000000 -1.000000 0.938219 0.257762 -1.000000
404 217.1798694135 0.050595 0.837709 1.000000 0.596609 -0.313864 1.000000 -1.000000 1.000000 1.000000 1.000000 1.000000 -0.415856 0.607628 1.000000 -1.000000 1.000000 1.000000 -0.109681 0.551632 1.000000 0.714849 -0.931674 0.730110 1.000000 -0.563627 1.000000 -1.000000 1.000000 -1.000000 1.000000 1.000000 -0.925108
694 250.3257421674 1.000000 -0.120549 -0.109378 1.000000 -1.000000 1.000000 -1.000000 1.000000 0.320835 1.000000 0.929271 -1.000000 1.000000 1.000000 -1.000000 1.000000 1.000000 -1.000000 -0.833003 1.000000 1.000000 -1.000000 0.005694 1.000000 -1.000000 1.000000 -0.568499 1.000000 -1.000000 1.000000 -1.000000 0.904736
1060 259.3867667511 0.233979 -0.903190 1.000000 1.000000 -1.000000 1.000000 -1.000000 1.000000 1.000000 1.000000 1.000000 -1.000000 1.000000 1.000000 -1.000000 1.000000 1.000000 -1.000000 -0.216045 1.000000 1.000000 -1.000000 0.822359 1.000000 0.530386 -0.561795 -0.173709 1.000000 0.188393 1.000000 -0.909099 -0.521301
1132 282.2753983150 -0.572360 -1.000000 0.990591 0.302829 -1.000000 1.000000 -0.265720 1.000000 0.263766 1.000000 1.000000 -0.098523 1.000000 1.000000 -0.021177 1.000000 1.000000 -1.000000 1.000000 1.000000 1.000000 -0.716638 0.013568 1.000000 1.000000 -0.451623 0.387960 1.000000 -0.295566 1.000000 -0.597127 -1.000000
