evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31
1 -152.2939371149 0.307179 -0.769986 0.900566 -0.035617 0.744949 -0.575335 -0.918581 -0.205611 -0.533736 0.683481 -0.585835 0.484939 -0.215692 -0.635487 0.487079 -0.860836 0.770674 0.905289 0.862287 -0.169138 -0.942037 0.964055 -0.320725 0.413374 -0.276246 -0.929788 0.710117 0.314507 0.531366 0.108174 0.770186 0.808395
6 -119.3315812709 -0.766222 -0.926262 0.847580 0.963802 -0.246749 -0.873048 -0.744287 0.759778 -0.091904 -0.601018 0.252064 0.552859 -0.070904 -0.919266 -0.252198 0.733837 -0.793589 -0.774978 0.560268 -0.729902 -0.742883 -0.518994 -0.416378 -0.333527 0.584328 -0.511306 -0.789230 -0.765839 -0.281298 -0.532119 0.656260 0.221575
13 -82.3666419537 0.942418 -0.803642 -0.231319 0.110499 0.216448 0.554095 -0.775795 -0.858061 -0.894796 -0.177721 0.812784 0.032743 0.143510 0.759765 -0.704140 -0.310653 -0.704890 -0.174463 -0.927175 -0.788743 -0.979671 0.480120 0.132285 -0.671046 -0.958749 0.945391 0.040751 -0.738711 0.822168 0.910797 0.662187 0.325641
21 0.8607498259 -0.994119 0.835984 -0.893681 -0.698035 0.349413 0.252313 -0.426469 -0.114246 -0.802626 -0.289984 -0.235658 -0.813627 -0.036504 -0.226242 -0.700701 -0.369828 0.510421 0.397312 0.267833 -0.780555 0.647707 -0.153032 0.714900 0.245318 -0.601153 -0.217355 -0.960624 -0.310001 -0.430989 -0.746501 0.024200 -0.208400
27 16.0269723323 -0.335501 0.864212 0.091771 -0.185052 0.852478 -0.219229 -0.983277 -0.743942 -0.321138 0.813638 0.310636 -0.683843 0.562993 0.579315 -0.683417 0.093103 -0.038717 0.031191 0.750629 -0.875761 0.065238 0.556647 -0.150467 0.217449 -0.429700 0.963203 0.781468 -0.319544 -0.122158 -0.283263 0.857096 -0.558472
111 25.6507958132 -0.828291 -0.987270 -0.441531 0.816315 0.395659 0.215896 -0.420633 0.356041 0.302984 0.551136 0.444674 -0.101074 -0.018449 -0.148908 -0.343668 0.100730 0.246177 0.196245 -0.229137 0.723365 -0.906568 -0.528240 0.145197 -0.134112 0.555749 0.203957 0.267722 0.049196 0.115766 -0.846466 0.292774 -0.627042
381 196.8358734933 -0.972590 0.322434 -0.226891 -0.191526 0.860938 0.853509 0.079481 -0.565047 0.479262 0.758038 0.941694 0.914276 0.363539 0.344587 -0.902280 -0.294843 0.586022 -0.263196 -0.368235 0.931799 0.211498 -0.391226 0.371712 0.869297 -0.384735 0.815398 -0.657160 -0.752833 -0.350892 -0.805492 -0.044518 0.240393
2993 200.2566117518 0.647233 0.995788 0.562321 -0.582735 -0.333548 -0.684807 -0.489111 0.058898 0.258065 0.906935 0.221713 -0.984329 0.539917 0.695992 -0.946194 0.321074 0.131297 -0.145507 -0.315694 0.239951 0.555881 -0.503802 0.115927 -0.853419 0.918281 -0.722685 0.989360 -0.848603 0.355779 0.963455 0.541850 0.725577
5297 226.3262673326 -0.780435 0.737635 0.394131 -0.051627 0.764195 0.839315 0.568106 -0.302144 -0.417967 0.540294 0.138453 -0.846861 0.998718 0.708828 -0.540399 -0.275521 0.441698 0.479673 -0.190846 0.808092 -0.825721 -0.863171 -0.911036 -0.285017 0.473663 -0.753865 -0.474450 0.757800 0.498243 -0.769764 0.156160 0.833359
6163 239.8088476982 -0.818512 -0.072364 0.508665 -0.127977 0.477351 -0.597474 -0.228341 -0.536743 0.977426 0.735328 -0.956531 0.764478 0.454139 -0.447851 -0.579218 0.863227 -0.867888 -0.533881 0.616746 -0.837903 0.998895 -0.812461 0.527048 0.290003 -0.074769 -0.909812 -0.686585 -0.966654 0.691761 0.936883 0.523047 -0.488155
7834 241.4592135196 0.680249 0.489650 -0.254200 -0.580656 -0.324153 0.783467 0.256240 0.220523 -0.637191 0.828228 -0.071029 -0.525085 -0.793550 0.809835 -0.906530 -0.530605 0.784503 0.028884 0.757872 0.911269 0.270692 0.877898 -0.951140 0.433602 0.381261 -0.644598 -0.735744 0.400018 -0.710948 -0.986239 0.066082 -0.913444
8557 272.3391825030 0.129460 -0.703027 -0.033316 0.066602 0.642236 0.264490 -0.082444 0.760715 0.243659 0.930022 -0.398528 0.100687 -0.290586 -0.363066 -0.822045 0.757841 0.916532 0.140207 0.580117 -0.299938 -0.896647 -0.747692 -0.247799 -0.580157 0.699620 0.719662 0.269643 0.202581 0.303913 -0.730902 0.698595 -0.868389
20000 -177.0327353543 -0.055626 0.890099 -0.680876 0.203817 -0.903872 0.575543 -0.648910 -0.666480 -0.410415 -0.107907 0.793910 -0.309848 0.919293 0.820166 -0.966769 -0.915654 -0.944457 -0.647039 0.586281 -0.680862 -0.526755 -0.741139 -0.177103 0.516819 0.301541 0.807408 -0.293788 0.763585 0.780817 -0.397112 0.531215 -0.463229
