evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31
1 -432.4196391702 0.828140 0.260142 0.017866 -0.894205 -0.920023 0.466664 0.332702 0.693696 -0.705391 0.385741 0.296606 0.805754 -0.876679 -0.140908 -0.817375 0.222433 -0.406426 0.144013 0.566715 0.215483 -0.184290 0.901878 0.314920 -0.560544 0.989602 0.265541 0.755267 0.664617 -0.306046 -0.225673 0.948207 0.982907
2 -298.4248634528 0.723071 0.254813 0.033413 -0.846094 -0.892138 0.326572 0.352193 0.818784 -0.798592 0.298839 0.202325 0.667789 -0.958861 -0.165157 -0.795185 0.245506 -0.519353 0.242104 0.745678 0.192232 -0.282789 0.938424 0.313690 -0.581691 0.998909 0.164725 0.871812 0.678122 -0.362746 -0.500646 1.000000 0.990932
107 -270.9240084184 0.528083 0.191264 0.037996 -0.824009 -0.893676 0.430189 0.315747 0.949498 -0.741749 0.408603 0.358742 0.689237 -0.750859 -0.098597 -0.652308 0.495401 -0.462964 0.362473 0.564146 0.191900 -0.186083 0.886687 0.405468 -0.494885 1.000000 0.216078 0.951709 0.763282 -0.347957 -0.486212 0.947089 1.000000
141 -265.8652887715 0.655631 0.122420 0.126232 -0.721910 -0.927113 0.345924 0.417521 0.974501 -0.848947 0.464658 0.453420 0.735890 -0.856003 -0.013807 -0.727988 0.598324 -0.434861 0.070553 0.781551 0.164810 -0.270566 0.829188 0.349293 -0.240685 1.000000 0.162776 1.000000 0.668373 -0.492363 -0.412542 0.845737 0.840573
149 -221.6376065772 0.613635 0.302301 0.173627 -0.697402 -0.952527 0.285536 0.246879 0.843841 -0.884455 0.368748 0.387639 0.586762 -1.000000 0.165776 -0.632687 0.558987 -0.435726 0.098813 0.711261 0.111412 -0.342280 0.872564 0.405841 -0.231296 1.000000 0.184941 1.000000 0.677493 -0.453925 -0.499950 0.875986 0.990040
156 -53.0593074487 0.628337 0.121720 0.031611 -0.707416 -1.000000 0.358554 0.258216 0.782447 -1.000000 0.485619 0.461776 0.467205 -0.918409 0.219738 -0.789920 0.568821 -0.439899 -0.033342 0.621349 0.192391 -0.330626 0.862067 0.401505 -0.234072 1.000000 0.273321 1.000000 0.666659 -0.298727 -0.618895 0.876021 0.982699
173 43.7439728184 0.615692 0.047247 0.101537 -0.642796 -0.971751 0.326216 0.140539 0.773758 -0.909419 0.535681 0.513323 0.342886 -0.867702 0.264635 -0.948183 0.647854 -0.435056 -0.136989 0.711263 0.142514 -0.382868 0.886196 0.431296 -0.231855 0.985557 0.467542 0.928173 0.669963 -0.394917 -0.696241 0.887720 0.791411
10150 46.0152892895 0.811724 0.008616 0.248739 -0.770227 -1.000000 0.329795 0.181593 0.729959 -0.808411 0.560271 0.433045 0.359576 -0.961546 0.160044 -0.794346 0.504665 -0.543233 -0.213047 0.785215 0.106146 -0.281310 0.805114 0.521076 -0.150823 0.819777 0.524102 1.000000 0.760728 -0.551798 -0.515385 1.000000 0.718762
13800 62.0731066658 0.708013 -0.002796 0.190398 -0.804151 -1.000000 0.429735 0.258449 0.848125 -1.000000 0.517860 0.390265 0.433341 -0.659029 0.275353 -0.560886 0.683031 -0.247670 -0.400719 0.931963 0.231762 -0.280483 0.837285 0.406936 0.041871 0.772346 0.546104 1.000000 0.695859 -0.402091 -0.691394 1.000000 0.887574
15301 227.0724855968 0.878900 0.094864 0.266250 -0.747156 -0.937120 0.418434 0.265546 0.821124 -1.000000 0.587527 0.409915 0.351956 -0.958724 0.184810 -0.610938 0.838106 -0.134998 -0.405322 0.933597 0.396739 -0.420120 0.919905 0.405233 0.184078 0.680926 0.490648 0.919107 0.824701 -0.413964 -0.504673 1.000000 1.000000
15680 237.2974818709 0.958419 -0.001528 0.233676 -0.617928 -0.825712 0.424596 0.278909 0.852557 -1.000000 0.509975 0.503610 0.338600 -1.000000 0.220917 -0.686879 0.929791 -0.225879 -0.487540 1.000000 0.619172 -0.449756 1.000000 0.421033 0.215727 0.726486 0.480095 0.782845 0.999348 -0.450978 -0.504905 1.000000 1.000000
16859 247.3993108588 0.994367 0.072201 0.263849 -0.620692 -0.841717 0.459667 0.282534 0.771824 -0.996671 0.505367 0.465380 0.390377 -1.000000 0.291245 -0.877411 0.877618 -0.196548 -0.569059 1.000000 0.682655 -0.547823 1.000000 0.366763 0.246834 0.725551 0.565570 0.731634 1.000000 -0.685173 -0.405381 0.905816 1.000000
17350 257.6628185394 1.000000 0.097306 0.192531 -0.542930 -0.779426 0.249056 0.144696 0.740797 -0.914661 0.573987 0.446949 0.507199 -1.000000 0.260943 -0.651023 0.781883 -0.197253 -0.537060 1.000000 0.730040 -0.761576 1.000000 0.241321 0.301160 0.770859 0.653360 0.683213 1.000000 -0.597504 -0.249100 0.953515 1.000000
17474 285.1581729763 1.000000 0.209320 0.160318 -0.557592 -0.797388 0.251630 0.232373 0.747870 -1.000000 0.745194 0.488509 0.502881 -1.000000 0.279257 -0.775467 0.796864 -0.055249 -0.526644 0.992713 0.719168 -0.780684 0.996928 0.214189 0.315386 0.680286 0.622349 0.654137 1.000000 -0.736887 -0.417108 0.908710 0.968988
28271 302.9375731466 1.000000 0.339249 0.192765 -0.609352 -0.888176 0.261552 0.156002 0.649917 -1.000000 0.665653 0.385612 0.492179 -1.000000 0.277611 -0.682344 0.763453 0.099517 -0.546202 1.000000 0.745546 -0.617443 0.904008 0.207853 0.124596 0.818708 0.567736 0.588708 0.924779 -0.680847 -0.566368 0.872508 0.817406
