evaluation,best_f
1,-278.6638886361986
2,-278.6638886361986
3,-278.6638886361986
4,-278.6638886361986
5,-278.6638886361986
6,-124.51005772626328
7,-124.51005772626328
8,-63.41965989739135
9,-63.41965989739135
10,-63.41965989739135
11,-63.41965989739135
12,-63.41965989739135
13,-63.41965989739135
14,-63.41965989739135
15,-63.41965989739135
16,-63.41965989739135
17,-63.41965989739135
18,-63.41965989739135
19,-63.41965989739135
20,-63.41965989739135
21,-63.41965989739135
22,-63.41965989739135
23,-63.41965989739135
24,-63.41965989739135
25,-63.41965989739135
26,-63.41965989739135
27,-63.41965989739135
28,-63.41965989739135
29,-63.41965989739135
30,-63.41965989739135
31,-63.41965989739135
32,-63.41965989739135
33,-63.41965989739135
34,-63.41965989739135
35,-63.41965989739135
36,-63.41965989739135
37,-63.41965989739135
38,-63.41965989739135
39,-63.41965989739135
40,-63.41965989739135
41,-63.41965989739135
42,-63.41965989739135
43,-63.41965989739135
44,-63.41965989739135
45,-63.41965989739135
46,-63.41965989739135
47,-63.41965989739135
48,-63.41965989739135
49,-63.41965989739135
50,-63.41965989739135
51,-63.41965989739135
52,-63.41965989739135
53,-63.41965989739135
54,-63.41965989739135
55,-63.41965989739135
56,-63.41965989739135
57,-63.41965989739135
58,-63.41965989739135
59,-63.41965989739135
60,-63.41965989739135
61,-63.41965989739135
62,-63.41965989739135
63,-63.41965989739135
64,-63.41965989739135
65,-63.41965989739135
66,-63.41965989739135
67,-63.41965989739135
68,-63.41965989739135
69,-63.41965989739135
70,-63.41965989739135
71,-63.41965989739135
72,-63.41965989739135
73,-63.41965989739135
74,-63.41965989739135
75,-63.41965989739135
76,-63.41965989739135
77,2.0896455434827317
78,2.0896455434827317
79,2.0896455434827317
80,2.0896455434827317
81,2.0896455434827317
82,2.0896455434827317
83,2.0896455434827317
84,2.0896455434827317
85,2.0896455434827317
86,2.0896455434827317
87,2.0896455434827317
88,2.0896455434827317
89,2.0896455434827317
90,2.0896455434827317
91,2.0896455434827317
92,2.0896455434827317
93,2.0896455434827317
94,2.0896455434827317
95,2.0896455434827317
96,2.0896455434827317
97,2.0896455434827317
98,2.0896455434827317
99,2.0896455434827317
100,2.0896455434827317
