seed,best_f,sigma_end,accept_rate,landed
10000,47.99296212192249,0.012,,False
10001,31.538433024838355,0.01,,False
10002,36.655548931721825,0.018,,False
10003,75.99426874302014,0.012,,False
10004,-279.0541808832048,0.008,,False
10005,44.774766321465535,0.02,,False
10006,34.766520621138994,0.016,,False
10007,-214.35117522846903,0.02,,False
10008,-251.77068419540444,0.014,,False
10009,32.47589761704515,0.022,,False
10010,-385.1931831362893,0.014,,False
10011,25.87824849792925,0.016,,False
10012,17.278104212659272,0.016,,False
10013,26.75539982845578,0.012,,False
10014,24.481113359030928,0.012,,False
10015,-307.92103112250504,0.006,,False
10016,-55.91275902639423,0.004,,False
10017,16.205048017872514,0.024,,False
10018,40.205948769458644,0.028,,True
10019,23.327995107360778,0.022,,False
